	Ranking	Artist	Title	Played
0	1	Adele	Rolling in the Deep	0
1	2	LMFAO featuring Lauren Bennett and GoonRock	Party Rock Anthem	0
2	3	Katy Perry	Firework	0
3	4	Katy Perry featuring Kanye West	E.T.	0
4	5	Pitbull featuring Ne-Yo, Afrojack and Nayer	Give Me Everything	0
5	6	Bruno Mars	Grenade	0
6	7	CeeLo Green	F**K You (Forget You)	0
7	8	Nicki Minaj	Super Bass	0
8	9	Maroon 5 featuring Christina Aguilera	Moves like Jagger	0
9	10	The Black Eyed Peas	Just Can't Get Enough	0
10	11	Jennifer Lopez featuring Pitbull	On the Floor	0
11	12	Rihanna	S&M	0
12	13	Foster the People	Pumped Up Kicks	0
13	14	Katy Perry	Last Friday Night (T.G.I.F.)	0
14	15	Bruno Mars	Just the Way You Are	0
15	16	Enrique Iglesias featuring Ludacris and DJ Frank E	Tonight (I'm Lovin' You)	0
16	17	Pink	Raise Your Glass	0
17	18	Lady Gaga	Born This Way	0
18	19	Pink	F**kin' Perfect	0
19	20	Rihanna featuring Drake	What's My Name?	0
20	21	Chris Brown featuring Lil Wayne and Busta Rhymes	Look at Me Now	0
21	22	Jeremih featuring 50 Cent	Down on Me	0
22	23	Lil Wayne	How to Love	0
23	24	Adele	Someone Like You	0
24	25	OneRepublic	Good Life	0
25	26	Bruno Mars	The Lazy Song	0
26	27	Britney Spears	Till the World Ends	0
27	28	Lupe Fiasco	The Show Goes On	0
28	29	Lady Gaga	The Edge of Glory	0
29	30	Kesha	We R Who We R	0
30	31	Wiz Khalifa	Black and Yellow	0
31	32	Hot Chelle Rae	Tonight Tonight	0
32	33	Kesha	Blow	0
33	34	Bad Meets Evil featuring Bruno Mars	Lighters	0
34	35	The Band Perry	If I Die Young	0
35	36	Gym Class Heroes featuring Adam Levine	Stereo Hearts	0
36	37	The Black Eyed Peas	The Time (Dirty Bit)	0
37	38	Diddy – Dirty Money featuring Skylar Grey	Coming Home	0
38	39	Pitbull featuring T-Pain	Hey Baby (Drop It to the Floor)	0
39	40	Rihanna	Only Girl (In the World)	0
40	41	Lil Wayne featuring Cory Gunz	6 Foot 7 Foot	0
41	42	Lady Antebellum	Just a Kiss	0
42	43	Jason Aldean	Dirt Road Anthem	0
43	44	Taio Cruz	Dynamite	0
44	45	Waka Flocka Flame featuring Wale and Roscoe Dash	No Hands	0
45	46	Britney Spears	I Wanna Go	0
46	47	DJ Khaled featuring Drake, Rick Ross and Lil Wayne	I'm on One	0
47	48	Cobra Starship featuring Sabi	You Make Me Feel...	0
48	49	Chris Brown	Yeah 3x	0
49	50	Nicki Minaj featuring Drake	Moment 4 Life	0
50	51	Dr. Dre featuring Eminem and Skylar Grey	I Need a Doctor	0
51	52	Nelly	Just a Dream	0
52	53	Kelly Rowland featuring Lil Wayne	Motivation	0
53	54	Edward Maya featuring Vika Jigulina	Stereo Love	0
54	55	Christina Perri	Jar of Hearts	0
55	56	Wiz Khalifa	Roll Up	0
56	57	LMFAO	Sexy and I Know It	0
57	58	Far East Movement featuring Ryan Tedder	Rocketeer	0
58	59	Kanye West	All of the Lights	0
59	60	Britney Spears	Hold It Against Me	0
60	61	Usher	More	0
61	62	Avril Lavigne	What the Hell	0
62	63	Tinie Tempah featuring Eric Turner	Written in the Stars	0
63	64	Trey Songz featuring Nicki Minaj	Bottoms Up	0
64	65	Usher featuring Pitbull	DJ Got Us Fallin' in Love	0
65	66	The Script	For the First Time	0
66	67	Blake Shelton	Honey Bee	0
67	68	Jason Aldean featuring Kelly Clarkson	Don't You Wanna Stay	0
68	69	Rihanna featuring Calvin Harris	We Found Love	0
69	70	Keri Hilson	Pretty Girl Rock	0
70	71	Lady Gaga	Yoü and I	0
71	72	Far East Movement featuring The Cataracs and Dev	Like a G6	0
72	73	David Guetta featuring Usher	Without You	0
73	74	Taylor Swift	Back to December	0
74	75	Katy Perry	Teenage Dream	0
75	76	Eli Young Band	Crazy Girl	0
76	77	Rihanna	Cheers (Drink to That)	0
77	78	Selena Gomez & the Scene	Who Says	0
78	79	Jake Owen	Barefoot Blue Jean Night	-1
79	80	Zac Brown Band featuring Jimmy Buffett	Knee Deep	0
80	81	Luke Bryan	Country Girl (Shake It for Me)	0
81	82	Brad Paisley and Carrie Underwood	Remind Me	0
82	83	Dev	In the Dark	0
83	84	New Boyz featuring The Cataracs and Dev	Backseat	0
84	85	Drake	Headlines	0
85	86	Beyoncé	Best Thing I Never Had	0
86	87	Jason Derulo	Don't Wanna Go Home	0
87	88	David Guetta featuring Flo Rida and Nicki Minaj	Where Them Girls At	0
88	89	Chris Brown	She Ain't You	0
89	90	Rodney Atkins	Take a Back Road	0
90	91	Mike Posner	Please Don't Go	0
91	92	Miguel	Sure Thing	0
92	93	Jessie J featuring B.o.B	Price Tag	0
93	94	Blake Shelton	God Gave Me You	0
94	95	Lil Wayne featuring Drake	She Will	0
95	96	Thompson Square	Are You Gonna Kiss Me or Not	0
96	97	Neon Trees	Animal	0
97	98	Kenny Chesney featuring Grace Potter	You and Tequila	0
98	99	Zac Brown Band	Colder Weather	0
99	100	Big Sean featuring Chris Brown	My Last	0
