Artist	Title	Release Year
Love On Top	Beyonce	
Beyond The Sea	Bobby Darin	
Every Rose Has It’s Thorne	Poison	
It’s Five O’clock Somewhere	Alan Jackson & Jimmy Buffett	
Love Will Keep Us Together	Captain & Tenille	
Every Everybody	Black Box	
Butterfly	Crazy Town	
Girlfriend	Pebbles	
Ain’t It Fun	Paramore	
Basket Case	Green Day	
Makes Me Wonder 	Maroon 5	
Low	Cracker	
Shoop	Sat N Pepa	
Forget You	Cee Lo Green	
Rainy Day Women #12 & 35	Bob Dylan	
Say Say Say	Paul McCartney & Michael Jackson	
Jealous	Nick Jonas	
West End Girls	Pet Shop Boys	
Pumped Up Kicks	Foster the People	
Canned Heat 	Jamiroquai	
Sex Type Thing	Stone Temple Pilots	
Melt With You 	Modern English	
Love Song	Sara Barellis	
Promiscuous	Nelly Furtado	
Sway	Pussy Cat Dolls	
7	Prince	
Toosie Slide	Drake	
I’m on Fire	Bruce Springsteen	
Hold Me Now	Thompson Twins	
Waiting For Tonight	Jennifer Lopez	
This Will Be– Natalie Cole 		1975
Makes Me Wonder	Maroon 5	
Forget You	Cee Lo Green	
Brass In Pocket	The Pretenders	
Gimme One Reason	Tracy Chapman	
Pride & Joy	Stevie Ray Vaughn	
Backstabbers	The O’Jays	
Feels Good	Tony Toni Tone	
One Thing Leads To Another	The Fixx	
What it’s Like	Everlast	
Lido Shuffle	Boz Scaggs	
On & On	Erykah Badu	
Private Eyes	Hall & Oates	
Where The party At	Jagged Edge ft Nelly	
What A Fool Believes	Doobie Brothers	
Say You’ll be mine	Christopher Cross	
She Bop	Cyndi Lauper	
Dancing With Myself	Billy Idol	
Some Nights 	Fun	
Silly Love Songs	Paul McCartney	
Blister in The Sun	Violent Femmes	
Soul for Real	Candy Rain	
Michael Jackson	Ben	
Paperboy	Ditty	
Matchbox Twenty	If You’re Gone	
Juice Newton	Angel of the Morning	
Ella Henderson 	Ghost	
Madonna	Justify My Love	
Pussycat Dolly	Buttons	
Rihanna	S&M	
Lisa Lisa & Cult Jam	Head to Toe	
The Weeknd	Heartless	
Beyonce	Cuff It	
Imagine Dragons	Believe It	
Daft Punk	Get Lucky	
Kool & The Gang	Jungle Boogie	
Natasha Bedingfield	Unwritten	
Pink	Just Like A Pill	
Mark Anthony	I Need To Know	
Kris Kross	Jump	
Simple Minds	Alive and Kicking	
Mase	Feel So Good	
Yvonne Elliman	If I Can’t Have You	
Demi Lavato	Sorry Not Sorry	
Sammy Hagar	Your Love Is Driving Me Crazy	
Paperboy	Ditty	
Black Eyed Peas	Don’t Phunk With My Heart	
Finger Eleven	Paralyzer	
Tom Jones 	What’s New Pussy Cat	
Iggy Azalea ft Rita Ora	Black Widow	
Sweet 	Ballroom Blitz	
Gerry Rafferty	Baker Street	1978
Eminem	Godzilla	2020
Duran Duran	Come Undone	1993
Little Big Town	Girl Crush	2014
Huey Lewis & The News	Stuck With You	1986
Mims	This Is Why I’m Hot	2007
Third Eye Blind	Semi Charmed Life	1997
Led Zeppelin	Good Times Bad Times	1969
Neil Diamond	Love On The Rocks	1980
Grand Funk Railroad	We’re An American Band	1973
Roxy Music	Love Is The Drug	
Glen Campbell	Southern Nights	
Santana Ft Michelle Branch	Game of Love	
Guns N’ Roses	Used To Love Her	
Classics IV	Spooky	
Rock n Roll Waltz	Kay Star	
Billy Preston	Nothing From Nothing	
Survivor	Burning Heart	
Janet Jackson	That’s The Way Love Goes	
Ciara Ft Petey Pablo 	Goodies	
Kevin Lyttle	Turn Me On	2003
Scandal	The Warrior	1984
Jerry Lee Lewis 	Great Balls of Fire	1957
Prince and The New Power Generation	7	1992
Steve Winwood	Higher Love	1986
Destiny’s Child	Say My Name	1999
KISS	Beth	1976
Cream	Sunshine of Your Love	1967
Pink	Raise Your Glass	2010
The Baby’s	Back On My Feet Again	1979
Avril Lavigne	Happy Ending	
Neil Sedaka	Laughter In The Rain	
Lorde	Team	
John Lennon	Woman	
Jay-Z	Can I Get A…	
Heart	Never	
Jane Child	I Don’t Want To Fall In Love	
Duice 	Dazzey Duks	
Encanto Cast	We Don’t Talk About Bruno	
The Grass Roots 	Midnight Confessions	
Jamie Foxx ft T-Pain	Blame It	2008
Supremes	Love Child	1968
Will Smith	Gettin Jiggy Wit It	1997
Styx	Babe	1979
Nu Shooz	I Can’t Wait	1985
Hammer	2 Legit 2 Quit	1991
Fergie	Fergalicious	2006
David Essex	Rock On	1973
Lizzo 	Good As Hell	2019
Genesis	Land of Confusion	1986
Blue Swede	Hooked On A Feeling	
Naughty By Nature	Hip Hop Hooray	
Finger Eleven	Paralyzer	
Anna Hendricks	Cups	
Tesla	Love Song	
John Fred & His Playboy Band 	Judy In Disguise (With Glasses)	
Bad Bunny Ft Drake	Mia	
Del Amitri	Roll To Me	
Madonna	Who’s That Girl	
Chicago	Hard Habit To Break	
Billy Vera and The beaters	At This Moment	1981
The Weeknd	Starboy	2016
Color Me Badd	I Wanna Sex You Up	1991
J-Kwon	Tipsy	2004
Janis Joplin	Me and Bobby McGee	1971
Nelly Furtado	I’m Like A Bird	2000
Blackstreet	No Diggity	1996
Sweet	Love Is Like Oxygen	1978
Kenny G	Songbird	1987
Taylor Swift	You Belong With Me	2008
Starship	Sara	
Twenty One Pilots	Heathens	
Icona Pop ft Charlie X	I Love It	
Maxine Nightengale	Right Back Where We Started From	
Natalie Merchant	Carnival	
Styx	Show Me The Way	
Quiet Riot	Cum On Feel The Noize	
Frankie Valli	Grease	
Dean Martin	Everybody Loves Somebody	
Elle King	Exs & Ohs	
Bob Marley	One Love	1965
Harry Styles	Watermelon Sugar	2019
The Verve Pipe	The Freshman	1996
Gonna Fly Now (Rocky Theme)	Bill Conti	1976
Wreckx-n-Effect	Rump Shaker	1992
Samantha Fox	Naughty Girls Need Love Too	1987
Marren Morris	Them Bones	2019
Blondi	Rapture	1980
The Hollies	Long Cool Woman In A Black Dress	1972
50 Cent	Disco Inferno	2004
